Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Marie Curie,"Marie Curie - tijd, leven en werk, door Fien Keersse (jaarwerk klas 9)
","https://youtu.be/lKfhVLqadDQ
",,Marie Curie haar leven in een notedop,,title,,
1867,11,7,,,,,,,Geboorte van Marie Curie,"Marya Sklodowska geboren in Warschau
", http://cdn02.trixum.de/upload2/1200/1003/3/3f9e27365d00d9f04edad2201a008906d.jpg,,Warszawa Polen rond 1800,,,,
1883,,,,,,,,,"Verlaat school
","Verliet de school met lof, nam deel aan een ""Vliegende Universiteit""",https://flyinguniversity.files.wordpress.com/2011/08/big1309.jpg,,Poland Flying University,,,,
1885,,,,1889,,,,,Gouvernante,Neemt werk aan als gouvernante,https://proxy.duckduckgo.com/iur/?f=1&image_host=http%3A%2F%2Fwww.podcastscience.fm%2Fwp-content%2Fuploads%2F2015%2F10%2Fps235_30bc2955116e17214403545cb92e7176.jpg&u=https://www.podcastscience.fm/wp-content/uploads/2015/10/ps235_30bc2955116e17214403545cb92e7176.jpg,,,,,,
1891,,,,,,,,,Sorbonne,Marie wordt toegelaten aan de Sorbonne in Parijs,https://s3.amazonaws.com/s3.timetoast.com/public/uploads/photos/7584572/radium_inst.jpeg?1478059352,,,,,,
1893,,,,,,,,,Natuurkunde,Studeerde af in de natuurkunde als beste van haar jaar,https://www.mariecurie.org.uk/globalassets/media/images/who-we-are/our-history/marie-curie.jpg,,,,,,
1894,,,,,,,,,Wiskunde,Studeerde af in de natuurkunde als beste van haar jaar,https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.jafQUt_Kw84DDC_7dxc51AHaE6%26pid%3D15.1&f=1,,,,,,
1895,,,,,,,,,Huwelijk met Pierre Curie,Fietsen gekregen van de ouders van Pierre Curie voor hun huwelijk,https://fthmb.tqn.com/rHj-P7HTzYr0lWuHR0rcR476esk=/768x0/filters:no_upscale()/Marie-Curie-Honeymoon-3208447a-58b74c713df78c060e2275b6.png,,,,,,
1897,,,,,,,,,"Geboorte oudste dochter
",Irène Curie,https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftourwarsaw.files.wordpress.com%2F2014%2F05%2Fz10419939qmaria-sklodowska-curie-z-corka-irena-w-1906.jpg%3Fw%3D433&f=1,,Marie en Irene Curie,,,,
1900,,,,,,,,,Lesgeven,Begon met lesgeven aan de école Normale voor vrouwen in Sèvres,https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2F3.bp.blogspot.com%2F-JNGR-vZVacc%2FWChIbtbb_aI%2FAAAAAAAAqdk%2FAZxHQipghkIs1l89zfMpcK2q6ya3RCR8wCLcB%2Fs1600%2FCurie01.jpg&f=1,,Marie voor de klas,,,,
1903,,,,,,,,,1 Ste Nobelprijs,Deelde  de  Nobelprijs voor Natuurkunde met  Henri Bequerel en Pierre Curie. Ze werd ook professor,"https://proxy.duckduckgo.com/iur/?f=1&image_host=http%3A%2F%2Fwww.youbioit.com%2Ffiles%2Fnewimages%2F2%2F353%2Fdiploma_marie_curie.preview.jpg&u=https://www.youbioit.com/files/newimages/2/353/diploma_marie_curie.preview.jpg
",,,,,,
1904,,,,,,,,,Geboorte jongste dochter,ève Curie,https://proxy.duckduckgo.com/iu/?u=http%3A%2F%2Fi.wp.pl%2Fa%2Ff%2Fjpeg%2F36047%2F450.jpeg&f=1,,"de kleinste is ève Curie, vlak na de dood van Pierre Curie",,,,
1906,,,,,,,,,Dood Pierre Curie,Pierre verongelukte in het verkeer ; Marie volgde hem op als professor in de Natuurkunde aan de Sorbonne.,https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.biography.com%2F.image%2Far_1%3A1%252Cc_fill%252Ccs_srgb%252Cg_face%252Cq_auto%3Agood%252Cw_300%2FMTE5NDg0MDU0NjUxOTYyODk1%2Fpierre-curie-39098-402.jpg&f=1,,Perre Curie als volwassen man,,,,
1911,,,,,,,,,2de Nobelprijs,"Ze ontving haar 2 de Nobelprijs ,deze keer voor de chemie","https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2Falumni.liv.ac.uk%2Fimage%2Fevents--reunions%2Fevents-calendar%2Fmarie-curie-article.jpg&f=1
",, laboratorium met chemische ontdekkingen,,,,